Name: Doug, Type: Main.Animal.Canine.Dog, Response: Waking Up...
Name: Will, Type: Main.Animal.Canine.Wolf, Response: Waking Up...
Name: Chloe, Type: Main.Animal.Feline.Cat, Response: Waking Up...
Name: Leo, Type: Main.Animal.Feline.Lion, Response: Waking Up...
Name: Tim, Type: Main.Animal.Feline.Tiger, Response: Waking Up...
Name: Elly, Type: Main.Animal.Pachyderm.Elephant, Response: Waking Up...
Name: Herman, Type: Main.Animal.Pachyderm.Hippo, Response: Waking Up...
Name: Rex, Type: Main.Animal.Pachyderm.Rhino, Response: Waking Up...
Name: Doug, Type: Main.Animal.Canine.Dog, Response: Woof
Name: Will, Type: Main.Animal.Canine.Wolf, Response: Howl
Name: Chloe, Type: Main.Animal.Feline.Cat, Response: prr
Name: Leo, Type: Main.Animal.Feline.Lion, Response: Roar
Name: Tim, Type: Main.Animal.Feline.Tiger, Response: Roar
Name: Elly, Type: Main.Animal.Pachyderm.Elephant, Response: Elephant is making noise
Name: Herman, Type: Main.Animal.Pachyderm.Hippo, Response: Hippo is making noise
Name: Rex, Type: Main.Animal.Pachyderm.Rhino, Response: Rhino is making noise
Name: Doug, Type: Main.Animal.Canine.Dog, Response: Eating Kibble
Name: Will, Type: Main.Animal.Canine.Wolf, Response: Eating Steak
Name: Chloe, Type: Main.Animal.Feline.Cat, Response: Eating Tuna
Name: Leo, Type: Main.Animal.Feline.Lion, Response: Eating Steak
Name: Tim, Type: Main.Animal.Feline.Tiger, Response: Eating Steak
Name: Elly, Type: Main.Animal.Pachyderm.Elephant, Response: Eating Grass
Name: Herman, Type: Main.Animal.Pachyderm.Hippo, Response: Eating plants
Name: Rex, Type: Main.Animal.Pachyderm.Rhino, Response: Eating Grass
Name: Doug, Type: Main.Animal.Canine.Dog, Response: Canine is roaming
Name: Will, Type: Main.Animal.Canine.Wolf, Response: Canine is roaming
Name: Chloe, Type: Main.Animal.Feline.Cat, Response: Feline is roaming
Name: Leo, Type: Main.Animal.Feline.Lion, Response: Feline is roaming
Name: Tim, Type: Main.Animal.Feline.Tiger, Response: Feline is roaming
Name: Elly, Type: Main.Animal.Pachyderm.Elephant, Response: Pachyderm is roaming
Name: Herman, Type: Main.Animal.Pachyderm.Hippo, Response: Pachyderm is roaming
Name: Rex, Type: Main.Animal.Pachyderm.Rhino, Response: Pachyderm is roaming
Name: Doug, Type: Main.Animal.Canine.Dog, Response: Sleeping...
Name: Will, Type: Main.Animal.Canine.Wolf, Response: Sleeping...
Name: Chloe, Type: Main.Animal.Feline.Cat, Response: Sleeping...
Name: Leo, Type: Main.Animal.Feline.Lion, Response: Sleeping...
Name: Tim, Type: Main.Animal.Feline.Tiger, Response: Sleeping...
Name: Elly, Type: Main.Animal.Pachyderm.Elephant, Response: Sleeping...
Name: Herman, Type: Main.Animal.Pachyderm.Hippo, Response: Sleeping...
Name: Rex, Type: Main.Animal.Pachyderm.Rhino, Response: Sleeping...
